pc,importance
PC1,0.254893
PC2,0.0
PC3,0.063014
PC4,0.157571
PC5,0.257946
PC6,0.041327
PC7,0.0
PC8,0.0
PC9,0.000899
PC10,0.140226
PC11,0.01097
PC12,0.008481
PC13,0.0
PC14,0.055321
PC15,0.009354
