pc,importance
PC1,0.118218
PC2,0.0
PC3,0.0
PC4,0.201956
PC5,0.092948
PC6,0.0
PC7,0.044721
PC8,0.041263
PC9,0.068391
PC10,0.0
PC11,0.083332
PC12,0.069697
PC13,0.069012
PC14,0.090089
PC15,0.120375
