pc,importance
PC1,0.147907
PC2,0.070206
PC3,0.055835
PC4,0.072634
PC5,0.182393
PC6,0.051064
PC7,0.063508
PC8,0.129154
PC9,0.071705
PC10,0.031811
PC11,0.02123
PC12,0.0
PC13,0.061969
PC14,0.040585
PC15,0.0
