pc,importance
PC1,0.431321
PC2,0.0
PC3,0.021695
PC4,0.013751
PC5,0.075425
PC6,0.0
PC7,0.203055
PC8,0.0
PC9,0.0
PC10,0.189155
PC11,0.0
PC12,0.0
PC13,0.0
PC14,0.0
PC15,0.065597
