pc,importance
PC1,0.234813
PC2,0.0
PC3,0.062122
PC4,0.105064
PC5,0.264321
PC6,0.032336
PC7,0.028694
PC8,0.044696
PC9,0.0
PC10,0.135888
PC11,0.0
PC12,0.0
PC13,0.048413
PC14,0.043653
PC15,0.0
