pc,importance
PC1,0.097794
PC2,0.04349
PC3,0.023378
PC4,0.083072
PC5,0.230681
PC6,0.029213
PC7,0.058577
PC8,0.044968
PC9,0.043211
PC10,0.026183
PC11,0.067104
PC12,0.004522
PC13,0.22563
PC14,0.017474
PC15,0.004702
