n_components,n_estimators,max_depth,learning_rate,scale_pos_weight,avg_F1,std_F1,avg_AUROC,std_AUROC
10,50,2,0.01,1.0,0.4799,0.1168,0.8006,0.1006
10,50,2,0.01,1.33,0.41,0.1427,0.8131,0.1197
10,50,2,0.01,2.0,0.3968,0.1402,0.8131,0.1197
10,50,2,0.1,1.0,0.6971,0.1335,0.7973,0.1177
10,50,2,0.1,1.33,0.7075,0.1539,0.7973,0.1177
10,50,2,0.1,2.0,0.7074,0.1158,0.8182,0.1149
10,50,2,0.3,1.0,0.7193,0.1683,0.8244,0.1102
10,50,2,0.3,1.33,0.7008,0.1643,0.8244,0.1102
10,50,2,0.3,2.0,0.703,0.1237,0.8244,0.1102
10,50,3,0.01,1.0,0.5231,0.1888,0.8131,0.1197
10,50,3,0.01,1.33,0.4489,0.1086,0.8214,0.0764
10,50,3,0.01,2.0,0.3968,0.1402,0.8339,0.0976
10,50,3,0.1,1.0,0.7075,0.1539,0.8119,0.1203
10,50,3,0.1,1.33,0.7075,0.1539,0.7973,0.1177
10,50,3,0.1,2.0,0.6847,0.1323,0.7911,0.122
10,50,3,0.3,1.0,0.6966,0.2042,0.8307,0.1064
10,50,3,0.3,1.33,0.7546,0.1842,0.7973,0.1177
10,50,3,0.3,2.0,0.7152,0.1437,0.8244,0.1102
10,50,4,0.01,1.0,0.5915,0.1577,0.8006,0.1006
10,50,4,0.01,1.33,0.5172,0.1057,0.8006,0.1006
10,50,4,0.01,2.0,0.3968,0.1402,0.8131,0.1197
10,50,4,0.1,1.0,0.7075,0.1539,0.7911,0.122
10,50,4,0.1,1.33,0.6802,0.1386,0.7973,0.1177
10,50,4,0.1,2.0,0.6847,0.1323,0.7702,0.1338
10,50,4,0.3,1.0,0.6744,0.1737,0.8307,0.1064
10,50,4,0.3,1.33,0.7273,0.1789,0.8182,0.1149
10,50,4,0.3,2.0,0.7027,0.1633,0.8244,0.1102
10,100,2,0.01,1.0,0.6952,0.1531,0.8131,0.1197
10,100,2,0.01,1.33,0.6279,0.1677,0.7979,0.1234
10,100,2,0.01,2.0,0.5037,0.1123,0.8042,0.1227
10,100,2,0.1,1.0,0.6821,0.1376,0.8182,0.1149
10,100,2,0.1,1.33,0.703,0.1237,0.8182,0.1149
10,100,2,0.1,2.0,0.7074,0.1158,0.8182,0.1149
10,100,2,0.3,1.0,0.7052,0.1901,0.8307,0.1064
10,100,2,0.3,1.33,0.6958,0.1836,0.8244,0.1102
10,100,2,0.3,2.0,0.6971,0.1335,0.8244,0.1102
10,100,3,0.01,1.0,0.6658,0.1398,0.8131,0.1197
10,100,3,0.01,1.33,0.6028,0.1525,0.8042,0.1227
10,100,3,0.01,2.0,0.5994,0.0864,0.825,0.1031
10,100,3,0.1,1.0,0.7297,0.1837,0.8119,0.1203
10,100,3,0.1,1.33,0.7243,0.1463,0.8244,0.1102
10,100,3,0.1,2.0,0.6847,0.1323,0.7911,0.122
10,100,3,0.3,1.0,0.7052,0.1901,0.8307,0.1064
10,100,3,0.3,1.33,0.7198,0.1913,0.8244,0.1102
10,100,3,0.3,2.0,0.688,0.1288,0.8244,0.1102
10,100,4,0.01,1.0,0.6407,0.1288,0.8131,0.1197
10,100,4,0.01,1.33,0.6279,0.1677,0.7917,0.1031
10,100,4,0.01,2.0,0.5994,0.0864,0.8042,0.1227
10,100,4,0.1,1.0,0.7297,0.1837,0.8119,0.1203
10,100,4,0.1,1.33,0.6971,0.1335,0.8244,0.1102
10,100,4,0.1,2.0,0.7075,0.1539,0.7911,0.122
10,100,4,0.3,1.0,0.7052,0.1901,0.8307,0.1064
10,100,4,0.3,1.33,0.7198,0.1913,0.8244,0.1102
10,100,4,0.3,2.0,0.6977,0.1827,0.8244,0.1102
10,200,2,0.01,1.0,0.694,0.1338,0.7792,0.1309
10,200,2,0.01,1.33,0.694,0.1338,0.7792,0.1309
10,200,2,0.01,2.0,0.6912,0.129,0.7854,0.1275
10,200,2,0.1,1.0,0.7193,0.1683,0.8244,0.1102
10,200,2,0.1,1.33,0.7193,0.1683,0.8244,0.1102
10,200,2,0.1,2.0,0.703,0.1237,0.8244,0.1102
10,200,2,0.3,1.0,0.7052,0.1901,0.8307,0.1064
10,200,2,0.3,1.33,0.6958,0.1836,0.8244,0.1102
10,200,2,0.3,2.0,0.7127,0.1783,0.8244,0.1102
10,200,3,0.01,1.0,0.6575,0.1085,0.7979,0.1234
10,200,3,0.01,1.33,0.6853,0.1096,0.7854,0.1275
10,200,3,0.01,2.0,0.6912,0.129,0.7917,0.125
10,200,3,0.1,1.0,0.6798,0.2074,0.8182,0.1149
10,200,3,0.1,1.33,0.7193,0.1683,0.8244,0.1102
10,200,3,0.1,2.0,0.7524,0.1661,0.8244,0.1102
10,200,3,0.3,1.0,0.6966,0.2042,0.8307,0.1064
10,200,3,0.3,1.33,0.7051,0.1479,0.8244,0.1102
10,200,3,0.3,2.0,0.7102,0.1658,0.8244,0.1102
10,200,4,0.01,1.0,0.6575,0.1085,0.7979,0.1234
10,200,4,0.01,1.33,0.6853,0.1096,0.7854,0.1275
10,200,4,0.01,2.0,0.6912,0.129,0.7917,0.125
10,200,4,0.1,1.0,0.6798,0.2074,0.8182,0.1149
10,200,4,0.1,1.33,0.6971,0.1335,0.8244,0.1102
10,200,4,0.1,2.0,0.6971,0.1335,0.8036,0.1143
10,200,4,0.3,1.0,0.6966,0.2042,0.8307,0.1064
10,200,4,0.3,1.33,0.7198,0.1913,0.8244,0.1102
10,200,4,0.3,2.0,0.6977,0.1827,0.8244,0.1102
15,50,2,0.01,1.0,0.4799,0.1168,0.8006,0.1006
15,50,2,0.01,1.33,0.41,0.1427,0.8131,0.1197
15,50,2,0.01,2.0,0.4026,0.1438,0.8131,0.1197
15,50,2,0.1,1.0,0.6802,0.1386,0.8173,0.1251
15,50,2,0.1,1.33,0.6802,0.1386,0.8173,0.1251
15,50,2,0.1,2.0,0.6633,0.0985,0.8146,0.1208
15,50,2,0.3,1.0,0.7399,0.1858,0.8182,0.1149
15,50,2,0.3,1.33,0.7212,0.1472,0.8057,0.1264
15,50,2,0.3,2.0,0.739,0.1459,0.8244,0.1102
15,50,3,0.01,1.0,0.5894,0.1444,0.8131,0.1197
15,50,3,0.01,1.33,0.4939,0.1343,0.8339,0.0976
15,50,3,0.01,2.0,0.4026,0.1438,0.8131,0.1197
15,50,3,0.1,1.0,0.6934,0.1653,0.8235,0.117
15,50,3,0.1,1.33,0.6706,0.1432,0.8021,0.1362
15,50,3,0.1,2.0,0.6575,0.1085,0.8057,0.1264
15,50,3,0.3,1.0,0.7102,0.1714,0.8271,0.1076
15,50,3,0.3,1.33,0.7071,0.1718,0.8057,0.1264
15,50,3,0.3,2.0,0.739,0.1459,0.8119,0.1203
15,50,4,0.01,1.0,0.5894,0.1444,0.8131,0.1197
15,50,4,0.01,1.33,0.4256,0.1244,0.8131,0.1197
15,50,4,0.01,2.0,0.4026,0.1438,0.7923,0.1474
15,50,4,0.1,1.0,0.6934,0.1653,0.8235,0.117
15,50,4,0.1,1.33,0.6662,0.1486,0.8021,0.1362
15,50,4,0.1,2.0,0.6847,0.1323,0.8057,0.1264
15,50,4,0.3,1.0,0.7102,0.1714,0.8271,0.1076
15,50,4,0.3,1.33,0.7146,0.1586,0.8057,0.1264
15,50,4,0.3,2.0,0.739,0.1459,0.8119,0.1203
15,100,2,0.01,1.0,0.668,0.1352,0.8131,0.1197
15,100,2,0.01,1.33,0.6279,0.1677,0.7979,0.1234
15,100,2,0.01,2.0,0.4728,0.1107,0.8042,0.1227
15,100,2,0.1,1.0,0.7075,0.1539,0.8083,0.1283
15,100,2,0.1,1.33,0.7075,0.1539,0.8057,0.1264
15,100,2,0.1,2.0,0.6847,0.1323,0.8182,0.1149
15,100,2,0.3,1.0,0.7399,0.1858,0.8182,0.1149
15,100,2,0.3,1.33,0.7212,0.1472,0.8182,0.1149
15,100,2,0.3,2.0,0.7323,0.1581,0.8244,0.1102
15,100,3,0.01,1.0,0.6036,0.1132,0.8068,0.1209
15,100,3,0.01,1.33,0.5756,0.1143,0.7854,0.1275
15,100,3,0.01,2.0,0.5406,0.0931,0.8429,0.0944
