pc,importance
PC1,0.170608
PC2,0.0
PC3,0.005695
PC4,0.410137
PC5,0.111596
PC6,0.006097
PC7,0.161164
PC8,0.122041
PC9,0.0
PC10,0.0
PC11,0.000393
PC12,0.006029
PC13,0.005659
PC14,0.0
PC15,0.000581
