pc,importance
PC1,0.145738
PC2,0.0
PC3,0.163794
PC4,0.240295
PC5,0.096419
PC6,0.016327
PC7,0.066953
PC8,0.10106
PC9,0.093736
PC10,0.0
PC11,0.034646
PC12,0.0
PC13,0.0
PC14,0.0
PC15,0.041032
