pc,importance
PC1,0.317737
PC2,0.037832
PC3,0.066289
PC4,0.0
PC5,0.127193
PC6,0.019885
PC7,0.194932
PC8,0.0
PC9,0.005832
PC10,0.111168
PC11,0.02161
PC12,0.0
PC13,0.0
PC14,0.0
PC15,0.097521
